candidate_id,source_name,source_url,source_type,year,malware_family,traffic_type,pcap_available,raw_packet_data,tls_present,tls_version_known,labels_available,label_quality,ja3_possible,ja3s_possible,ja4_possible,license_or_access,source_environment,potential_benign_data,potential_malicious_data,dataset_size_if_known,priority,status,reason,verification_required
CAND-001,MTA 2024 Exercises,https://www.malware-traffic-analysis.net/2024/index.html,downloadable_pcap,2024,UNKNOWN,mixed,TRUE,TRUE,TRUE,UNKNOWN,TRUE,HIGH,TRUE,TRUE,TRUE,PUBLIC,sandbox_and_simulated,TRUE,TRUE,UNKNOWN,P0,PENDING,Recent exercises often contain both benign background and malicious activity.,TRUE
CAND-002,MTA 2025 Exercises,https://www.malware-traffic-analysis.net/2025/index.html,downloadable_pcap,2025,UNKNOWN,mixed,TRUE,TRUE,TRUE,UNKNOWN,TRUE,HIGH,TRUE,TRUE,TRUE,PUBLIC,sandbox_and_simulated,TRUE,TRUE,UNKNOWN,P0,PENDING,Latest exercises for modern TLS benign/malicious mix.,TRUE
CAND-003,malware-traffic/indicators,https://github.com/malware-traffic/indicators,github_repository,2024,mixed,IOCs_only,FALSE,FALSE,FALSE,NOT_APPLICABLE,TRUE,HIGH,FALSE,FALSE,FALSE,PUBLIC,NOT_APPLICABLE,FALSE,FALSE,UNKNOWN,REJECTED,REJECTED,Contains only IOCs (hashes/domains/IPs); no raw PCAP traffic available.,FALSE
CAND-004,Stratosphere IPS CTU-13,https://www.stratosphereips.org/datasets-ctu13,academic_dataset,2011,mixed,mixed,TRUE,TRUE,UNKNOWN,UNKNOWN,TRUE,HIGH,TRUE,TRUE,TRUE,ACADEMIC,botnet_network,TRUE,TRUE,LARGE,P2,PENDING,Extensive botnet and normal traffic; however old year means mostly TLS 1.0/1.1.,TRUE
CAND-005,Stratosphere IPS Malware Capture Facility,https://www.stratosphereips.org/datasets-malware,academic_dataset,2023,mixed,mixed,TRUE,TRUE,TRUE,UNKNOWN,TRUE,HIGH,TRUE,TRUE,TRUE,ACADEMIC,sandbox,FALSE,TRUE,LARGE,P1,PENDING,Good source for diverse malicious PCAPs with some background traffic.,TRUE
CAND-006,CIC-IDS-2017,https://www.unb.ca/cic/datasets/ids-2017.html,academic_dataset,2017,mixed,mixed,TRUE,TRUE,TRUE,UNKNOWN,TRUE,HIGH,TRUE,TRUE,TRUE,ACADEMIC,simulated_network,TRUE,TRUE,LARGE,P1,PENDING,Provides substantial benign background traffic; TLS 1.2 present.,TRUE
CAND-007,CIC-Bell-DNS-EXF-2021,https://www.unb.ca/cic/datasets/dns-exf-2021.html,academic_dataset,2021,dns_exfil,mixed,TRUE,TRUE,TRUE,UNKNOWN,TRUE,HIGH,TRUE,TRUE,TRUE,ACADEMIC,simulated_network,TRUE,FALSE,LARGE,P1,PENDING,Contains modern benign traffic baseline (and DNS exfil).,TRUE
CAND-008,CIRA-CIC-DoHBrw-2020,https://www.unb.ca/cic/datasets/dohbrw-2020.html,academic_dataset,2020,doh_tunnels,mixed,TRUE,TRUE,TRUE,TRUE,TRUE,HIGH,TRUE,TRUE,TRUE,ACADEMIC,simulated_network,TRUE,TRUE,LARGE,P0,PENDING,Excellent source of modern TLS 1.2/1.3 benign browsing behavior.,TRUE
CAND-009,MTA 2026 Entries,https://www.malware-traffic-analysis.net/2026/index.html,downloadable_pcap,2026,UNKNOWN,mixed,TRUE,TRUE,TRUE,UNKNOWN,TRUE,HIGH,TRUE,TRUE,TRUE,PUBLIC,sandbox_and_simulated,TRUE,TRUE,UNKNOWN,P0,PENDING,Latest malware traffic containing modern TLS versions.,TRUE
CAND-010,Aposemat IoT-23,https://www.stratosphereips.org/datasets-iot23,academic_dataset,2020,iot_malware,mixed,TRUE,TRUE,TRUE,UNKNOWN,TRUE,HIGH,TRUE,TRUE,TRUE,ACADEMIC,iot_network,TRUE,TRUE,LARGE,P2,PENDING,Huge benign/malicious mix but heavily IoT focused; may not match standard enterprise TLS.,TRUE
