candidate_id,mta_date,mta_title,malware_family,malware_category,year,source_url,pcap_filename,pcap_available,pcap_size_if_documented,documented_protocol,documented_tls,documented_tls_version,documented_c2,candidate_priority,discovery_status,expected_ja4_relevance,reason_selected,reason_rejected,notes,download_status,archive_sha256,extraction_status,empirical_status,empirical_quality,rejection_reason,pcap_sha256,pcap_size_bytes,malware_label_confidence,packet_count,flow_count,tls_flow_count,tls12_present,tls13_present,clienthello_count,serverhello_count,ja3_available,ja3s_available,ja4_available,ja4_flow_count,bidirectional_flow_count
MTA-C003,2026-08-06,Remcos RAT (7.2.5 Pro) infection,Remcos RAT,RAT,2026,https://www.malware-traffic-analysis.net/2026/08/06/index.html,2026-08-06-example-of-Remcos-RAT-post-infection-traffic.pcap,YES,UNKNOWN,HTTPS - Remcos standard C2,LIKELY,UNKNOWN,HTTPS C2,P0,CANDIDATE,HIGH,Remcos RAT version specified (7.2.5 Pro); newer version implies modern TLS; adds well-documented RAT family to corpus,,Filename unknown. Remcos uses HTTPS for C2; version 7.2.5 Pro is recent. Requires PCAP verification.,SUCCESS,d9a1ae02f6098661b5488c830360b1f6d41967b87b66c08137209af2f07e9e63,SUCCESS,VERIFIED_NO,REJECTED,NO_CLIENTHELLO,a48aac50133d9e2094d92b64b15880a64b2b07aeaedbe1f80afdcbc122fa4b1b,534586,DOCUMENTED_SOURCE,619,5,1,NO,NO,0,0,NO,NO,NO,0,3
MTA-C006,2026-04-16,Lumma Stealer infection with Sectop RAT / ArechClient2,Lumma Stealer / SectopRAT / ArechClient2,Stealer / RAT,2026,https://www.malware-traffic-analysis.net/2026/04/16/index.html,2026-04-16-Lumma-Stealer-infection-with-Sectop-RAT.pcap,YES,UNKNOWN,HTTPS - multi-payload,LIKELY,UNKNOWN,HTTPS C2 for multiple payloads,P0,CANDIDATE,HIGH,Triple-family capture (Lumma + SectopRAT + ArechClient2); maximum JA4 fingerprint diversity per capture; high scientific value,,Filename unknown. ArechClient2 is a sophisticated C2 framework. Requires PCAP verification.,SUCCESS,54309975b6f9cde0bf5c80771cb2fe48e1c6cfe53c93a64d167d38ffc97204fb,SUCCESS,VERIFIED_YES,HIGH,,a430dc87508451dad8e70a7ed9b5d912054482d16745b4eadd93411e44dd41fc,42365230,DOCUMENTED_SOURCE,45864,258,54,YES,YES,50,50,YES,YES,YES,50,131
MTA-C015,2025-11-19,XWorm infection from email attachment,XWorm,RAT / Loader,2025,https://www.malware-traffic-analysis.net/2025/11/19/index.html,2025-11-19-Xworm-infection-traffic.pcap,YES,UNKNOWN,TLS - XWorm uses TLS encrypted C2,LIKELY,UNKNOWN,Encrypted C2 channel,P0,CANDIDATE,HIGH,XWorm is in DS-008 verified baseline; additional 2025 campaign from different date/delivery adds temporal diversity,,XWorm confirmed. Email attachment delivery differs from baseline. Filename unknown. Requires PCAP verification.,SUCCESS,48e0fbadbfa205572fdef8ff7f02d42912d81ad1362a973907bea157a980459a,SUCCESS,VERIFIED_YES,MEDIUM,,c63d9260c5d93b98c51b353f4f6059c52b756ab648cc27c814d3aede41142d23,4198726,DOCUMENTED_SOURCE,4645,9,3,YES,YES,2,2,YES,YES,YES,2,5
MTA-C018,2025-09-24,Lumma Stealer infection with follow-up malware possible Ghostsocks/Go Backdoor,Lumma Stealer / Ghostsocks,Stealer / Backdoor,2025,https://www.malware-traffic-analysis.net/2025/09/24/index.html,2025-09-24-traffic-from-running-Setup.exe.pcap,YES,UNKNOWN,HTTPS - multi-family,LIKELY,UNKNOWN,HTTPS C2 for Lumma; Go-based C2 for backdoor,P0,CANDIDATE,HIGH,Ghostsocks/Go backdoor produces distinctive TLS fingerprints due to Go crypto/tls stack; exceptional JA4 diversity,,Ghostsocks confirmed as Go-based. Go TLS stacks produce distinctive fingerprints distinct from OpenSSL/Schannel. Filename unknown.,SUCCESS,fe6422949c8c3580ffbb762799a93a784a06748c66d0531279b97e3794eed722,SUCCESS,VERIFIED_YES,HIGH,,805fc5b533f990ae63beeacdee52b656bfddfd21145089dfbb54a82c6ea17aba,17405634,DOCUMENTED_SOURCE,16517,20,9,NO,YES,8,8,YES,YES,YES,8,11
MTA-C021,2025-08-20,SmartApeSG CAPTCHA page ClickFix script leads to NetSupport RAT then StealC v2,SmartApeSG / NetSupport RAT / StealC v2,RAT / Stealer / ClickFix,2025,https://www.malware-traffic-analysis.net/2025/08/20/index.html,2025-08-20-SmartAgeSG-Netsupport-RAT-with-StealCv2.pcap,YES,UNKNOWN,HTTPS - multi-stage,LIKELY,UNKNOWN,HTTPS for all stages,P0,CANDIDATE,HIGH,Three-stage capture (SmartApeSG + NetSupport RAT + StealC v2); multiple TLS fingerprints per capture; high diversity value,,Triple-family infection. NetSupport + StealC v2 in same capture. Filename unknown.,SUCCESS,5e74ce87996abd1237f242e6b551fdf0a20e07003a58d077e6ae25ab1c257f5d,SUCCESS,VERIFIED_YES,HIGH,,24de7b31a2248763c4fd3e92acfc6b6fa9462b129c7b4ff8024932407ebeae4b,68385338,DOCUMENTED_SOURCE,61609,27,7,YES,NO,6,7,YES,YES,YES,6,15
MTA-C022,2025-08-15,Lumma Stealer infection with SectopRAT,Lumma Stealer / SectopRAT,Stealer / RAT,2025,https://www.malware-traffic-analysis.net/2025/08/15/index.html,2025-08-15-Lumma-Stealer-infection-with-Sectop-RAT.pcap,YES,UNKNOWN,HTTPS - dual payload,LIKELY,UNKNOWN,HTTPS C2 for both,P0,CANDIDATE,HIGH,Dual-payload Lumma + SectopRAT; SectopRAT adds distinct TLS fingerprint profile; high diversity per capture,,Filename unknown. Requires PCAP verification.,SUCCESS,f75dbae7903aef96f6069f59cbe87ae3e9da1f0a38033bdd566d0da519222060,SUCCESS,VERIFIED_YES,HIGH,,903844e8c40fde617c3636a69ba902a668d740e67c79d9624998b4ab6df09ccd,23163559,DOCUMENTED_SOURCE,21579,423,11,NO,YES,10,11,YES,YES,YES,10,162
MTA-C039,2024-09-11,Data Dump Remcos RAT and XLoader Formbook,Remcos RAT / XLoader,RAT / Stealer,2024,https://www.malware-traffic-analysis.net/2024/09/11/index.html,2024-09-11-Remcos-RAT-infection-traffic.pcap,YES,UNKNOWN,HTTPS - both families use HTTPS C2,LIKELY,UNKNOWN,HTTPS C2 for both,P0,CANDIDATE,HIGH,Dual-family capture; Remcos RAT adds new family; XLoader provides continuity with baseline; data dump may include multiple PCAPs,,Filename unknown. Data dump may contain multiple PCAP files. Requires PCAP verification.,SUCCESS,4f3133298d08eca9bd430aeaee984f4efbdc40516af13c6d5a81cd2b5b1b9ab0,SUCCESS,VERIFIED_YES,MEDIUM,,3568f8710ce89eecb3639a3370f8c7bdd1f79b8dbcd61f56fdfa4d12a9ea02f4,11459,DOCUMENTED_SOURCE,80,6,1,NO,YES,1,1,YES,YES,YES,1,4
MTA-C040,2024-08-26,GuLoader for Remcos RAT,GuLoader / Remcos RAT,Loader / RAT,2024,https://www.malware-traffic-analysis.net/2024/08/26/index.html,2024-08-26-GuLoader-for-Remcos-RAT.pcap,YES,UNKNOWN,HTTPS - GuLoader delivery + RAT C2,LIKELY,UNKNOWN,HTTPS for payload delivery and RAT C2,P0,CANDIDATE,HIGH,GuLoader delivery chain + Remcos RAT C2; multi-stage infection captures distinct TLS fingerprints from loader and RAT,,GuLoader uses shellcode-based HTTPS delivery with distinctive SSL/TLS fingerprints. Filename unknown.,SUCCESS,5bfd0496ca8801f9d513d8cf0aa1225d3e4e0da1e2059cef9dacd9fb948f4c39,SUCCESS,VERIFIED_YES,MEDIUM,,47b1cc4c0148245878a1a2f2eadb37323d80d20a5dbc196b872b3780b8108095,1670896,DOCUMENTED_SOURCE,1620,16,3,YES,YES,2,2,YES,YES,YES,2,9
MTA-C045,2024-03-06,Pikabot infection leads to Meduza Stealer,Pikabot / Meduza Stealer,Loader / Stealer,2024,https://www.malware-traffic-analysis.net/2024/03/06/index.html,2024-03-06-traffic-from-Piakbot-infection-with-Meduza-Stealer.pcap,YES,UNKNOWN,HTTPS - Pikabot uses HTTPS C2,LIKELY,UNKNOWN,HTTPS C2,P0,CANDIDATE,HIGH,Pikabot is a sophisticated loader with HTTPS C2; emerged as Qakbot replacement in 2023-2024; Meduza Stealer adds stealer diversity,,Filename unknown. Requires PCAP verification.,SUCCESS,cc40a9268aca8bd7a1215eab3ee82c1cc5a19adb39cb29e76a553e83869f9e25,SUCCESS,VERIFIED_YES,HIGH,,f1bfadc000a21dae71a1d1d71613b169a6e01bedb7d9829822d111987ed4caeb,1775002,DOCUMENTED_SOURCE,2652,214,51,YES,NO,51,51,YES,YES,YES,51,79
MTA-C049,2024-01-30,DarkGate activity,DarkGate,Loader / Backdoor,2024,https://www.malware-traffic-analysis.net/2024/01/30/index.html,2024-01-30-DarkGate-infection-traffic.pcap,YES,UNKNOWN,HTTPS - DarkGate standard,LIKELY,UNKNOWN,HTTPS C2,P0,CANDIDATE,HIGH,DarkGate is a sophisticated loader/backdoor using HTTPS C2; adds completely new family to corpus; high scientific value,,Filename unknown. Requires PCAP verification.,SUCCESS,37431dfcc6d8a0216276f1aed17dd7e8bc4ce338a3237e724655ecc576c70a03,SUCCESS,VERIFIED_YES,MEDIUM,,5f74ed42f609284180f70d104dacdb82cde86dda86020994464b416cd1bbb17f,2356569,DOCUMENTED_SOURCE,2870,122,4,NO,YES,3,3,YES,YES,YES,3,44
