candidate_id,mta_date,mta_title,malware_family,malware_category,year,source_url,pcap_filename,pcap_available,pcap_size_if_documented,documented_protocol,documented_tls,documented_tls_version,documented_c2,candidate_priority,discovery_status,expected_ja4_relevance,reason_selected,reason_rejected,notes,download_status,archive_sha256,extraction_status,empirical_status,empirical_quality,rejection_reason,pcap_sha256,pcap_size_bytes,malware_label_confidence,packet_count,flow_count,tls_flow_count,tls12_present,tls13_present,clienthello_count,serverhello_count,ja3_available,ja3s_available,ja4_available,ja4_flow_count,bidirectional_flow_count
MTA-C001,2026-08-12,SmartApeSG ClickFix leads to two RATs,SmartApeSG / RAT (unspecified),RAT / ClickFix,2026,https://www.malware-traffic-analysis.net/2026/08/12/index.html,UNKNOWN,YES,UNKNOWN,HTTPS inferred from modern RAT C2,LIKELY,UNKNOWN,RAT C2 over HTTPS inferred,P1,CANDIDATE,HIGH,Recent 2026 RAT campaign; modern RAT families use HTTPS C2; family diversity from SmartApeSG delivery,,RAT family not specified on MTA page. Filename unknown. TLS not documented. Requires PCAP verification.,,,,,,,,,,,,,,,,,,,,,
MTA-C002,2026-08-10,Lumma Stealer or variant,Lumma Stealer,Stealer / Infostealer,2026,https://www.malware-traffic-analysis.net/2026/08/10/index.html,UNKNOWN,YES,UNKNOWN,HTTPS - Lumma standard C2,LIKELY,UNKNOWN,HTTPS C2,P0,CANDIDATE,HIGH,Lumma Stealer is a modern infostealer known to use HTTPS C2; most recent 2026 Lumma capture; excellent JA4 relevance expected,,Filename unknown. TLS version not documented. Requires PCAP verification.,,,,,,,,,,,,,,,,,,,,,
MTA-C003,2026-08-06,Remcos RAT (7.2.5 Pro) infection,Remcos RAT,RAT,2026,https://www.malware-traffic-analysis.net/2026/08/06/index.html,2026-08-06-example-of-Remcos-RAT-post-infection-traffic.pcap,YES,UNKNOWN,HTTPS - Remcos standard C2,LIKELY,UNKNOWN,HTTPS C2,P0,CANDIDATE,HIGH,Remcos RAT version specified (7.2.5 Pro); newer version implies modern TLS; adds well-documented RAT family to corpus,,Filename unknown. Remcos uses HTTPS for C2; version 7.2.5 Pro is recent. Requires PCAP verification.,SUCCESS,d9a1ae02f6098661b5488c830360b1f6d41967b87b66c08137209af2f07e9e63,SUCCESS,VERIFIED_NO,REJECTED,NO_CLIENTHELLO,a48aac50133d9e2094d92b64b15880a64b2b07aeaedbe1f80afdcbc122fa4b1b,534586,DOCUMENTED_SOURCE,619,5,1,NO,NO,0,0,NO,NO,NO,0,3
MTA-C004,2026-07-31,SmartApeSG ClickFix campaign pushes unidentified RAT,SmartApeSG / RAT (unidentified),RAT / ClickFix,2026,https://www.malware-traffic-analysis.net/2026/07/31/index.html,UNKNOWN,YES,UNKNOWN,HTTPS inferred,LIKELY,UNKNOWN,RAT C2,P1,CANDIDATE,MEDIUM,SmartApeSG ClickFix chain; RAT family unidentified reduces priority; temporal diversity from July 2026,,RAT not identified. Lower priority due to unknown family. Filename unknown.,,,,,,,,,,,,,,,,,,,,,
MTA-C005,2026-05-27,SmartApeSG ClickFix leads to Unidentified RAT then NetSupport RAT,SmartApeSG / NetSupport RAT,RAT / ClickFix,2026,https://www.malware-traffic-analysis.net/2026/05/27/index.html,UNKNOWN,YES,UNKNOWN,HTTPS - NetSupport standard,LIKELY,UNKNOWN,HTTPS C2,P1,CANDIDATE,HIGH,NetSupport RAT confirmed in payload; adds well-known RAT family; multi-stage chain captures loader + RAT TLS fingerprints,,Filename unknown. Requires PCAP verification.,,,,,,,,,,,,,,,,,,,,,
MTA-C006,2026-04-16,Lumma Stealer infection with Sectop RAT / ArechClient2,Lumma Stealer / SectopRAT / ArechClient2,Stealer / RAT,2026,https://www.malware-traffic-analysis.net/2026/04/16/index.html,2026-04-16-Lumma-Stealer-infection-with-Sectop-RAT.pcap,YES,UNKNOWN,HTTPS - multi-payload,LIKELY,UNKNOWN,HTTPS C2 for multiple payloads,P0,CANDIDATE,HIGH,Triple-family capture (Lumma + SectopRAT + ArechClient2); maximum JA4 fingerprint diversity per capture; high scientific value,,Filename unknown. ArechClient2 is a sophisticated C2 framework. Requires PCAP verification.,SUCCESS,54309975b6f9cde0bf5c80771cb2fe48e1c6cfe53c93a64d167d38ffc97204fb,SUCCESS,VERIFIED_YES,HIGH,,a430dc87508451dad8e70a7ed9b5d912054482d16745b4eadd93411e44dd41fc,42365230,DOCUMENTED_SOURCE,45864,258,54,YES,YES,50,50,YES,YES,YES,50,131
MTA-C007,2026-04-13,XLoader (Formbook) infection,XLoader / Formbook,Stealer / Loader,2026,https://www.malware-traffic-analysis.net/2026/04/13/index.html,UNKNOWN,YES,UNKNOWN,HTTPS - XLoader standard,LIKELY,UNKNOWN,HTTPS C2,P1,CANDIDATE,HIGH,XLoader companion to baseline PCAP-1; 2026 campaign adds temporal diversity for same family fingerprint analysis,,Filename unknown. Requires PCAP verification.,,,,,,,,,,,,,,,,,,,,,
MTA-C008,2026-03-12,SmartApeSG ClickFix pushes Remcos RAT,SmartApeSG / Remcos RAT,RAT / ClickFix,2026,https://www.malware-traffic-analysis.net/2026/03/12/index.html,UNKNOWN,YES,UNKNOWN,HTTPS - Remcos standard,LIKELY,UNKNOWN,HTTPS C2,P1,CANDIDATE,HIGH,Remcos RAT via ClickFix; different campaign from MTA-C003; adds delivery-chain diversity,,Filename unknown. Requires PCAP verification.,,,,,,,,,,,,,,,,,,,,,
MTA-C009,2026-02-02,KongTuke ClickFix activity for MintsLoader and GhostWeaver RAT,MintsLoader / GhostWeaver RAT,Loader / RAT,2026,https://www.malware-traffic-analysis.net/2026/02/02/index.html,UNKNOWN,YES,UNKNOWN,HTTPS inferred for GhostWeaver C2,LIKELY,UNKNOWN,RAT C2,P1,CANDIDATE,HIGH,GhostWeaver RAT is a lesser-documented family; KongTuke loader chain adds delivery TLS; new families add diversity,,Filename unknown. GhostWeaver RAT family documentation limited. Requires PCAP verification.,,,,,,,,,,,,,,,,,,,,,
MTA-C010,2026-01-22,SmartApeSG uses ClickFix technique to push Remcos RAT,SmartApeSG / Remcos RAT,RAT / ClickFix,2026,https://www.malware-traffic-analysis.net/2026/01/22/index.html,UNKNOWN,YES,UNKNOWN,HTTPS - Remcos standard,LIKELY,UNKNOWN,HTTPS C2,P2,CANDIDATE,MEDIUM,Third Remcos RAT entry; lower priority due to family duplication unless fingerprint variation confirmed,,Filename unknown. Accept only if cross-campaign TLS fingerprint variation confirmed empirically.,,,,,,,,,,,,,,,,,,,,,
MTA-C011,2025-12-30,Lumma Stealer infection with follow-up malware,Lumma Stealer,Stealer / Infostealer,2025,https://www.malware-traffic-analysis.net/2025/12/30/index.html,UNKNOWN,YES,UNKNOWN,HTTPS - Lumma standard,LIKELY,UNKNOWN,HTTPS C2,P0,CANDIDATE,HIGH,Recent Lumma Stealer with follow-up malware chain; multi-stage infection adds multiple TLS fingerprints,,Filename unknown. Requires PCAP verification.,,,,,,,,,,,,,,,,,,,,,
MTA-C012,2025-12-29,ClickFix activity leads to NetSupport RAT,NetSupport RAT,RAT / ClickFix,2025,https://www.malware-traffic-analysis.net/2025/12/29/index.html,UNKNOWN,YES,UNKNOWN,HTTPS - NetSupport standard,LIKELY,UNKNOWN,HTTPS C2,P1,CANDIDATE,HIGH,NetSupport RAT via ClickFix; well-documented modern RAT; adds RAT class diversity to corpus,,Filename unknown. Requires PCAP verification.,,,,,,,,,,,,,,,,,,,,,
MTA-C013,2025-12-22,StealC from files impersonating cracked versions of popular software,StealC v2,Stealer / Infostealer,2025,https://www.malware-traffic-analysis.net/2025/12/22/index.html,UNKNOWN,YES,UNKNOWN,HTTPS - StealC v2 C2,LIKELY,UNKNOWN,HTTPS C2,P0,CANDIDATE,HIGH,StealC v2 is a documented modern infostealer with HTTPS C2; software crack delivery common; high relevance,,Filename unknown. Requires PCAP verification.,,,,,,,,,,,,,,,,,,,,,
MTA-C014,2025-12-23,MacSync Stealer infection,MacSync Stealer,Stealer / macOS,2025,https://www.malware-traffic-analysis.net/2025/12/23/index.html,UNKNOWN,YES,UNKNOWN,HTTPS expected for macOS stealer,POSSIBLE,UNKNOWN,HTTPS C2 assumed,P2,CANDIDATE,MEDIUM,MacSync is a macOS stealer; macOS TLS stacks produce distinct fingerprints; adds OS diversity,,Uncertain TLS relevance. macOS vs Windows capture environments differ. Verify target OS and TLS properties before inclusion.,,,,,,,,,,,,,,,,,,,,,
MTA-C015,2025-11-19,XWorm infection from email attachment,XWorm,RAT / Loader,2025,https://www.malware-traffic-analysis.net/2025/11/19/index.html,2025-11-19-Xworm-infection-traffic.pcap,YES,UNKNOWN,TLS - XWorm uses TLS encrypted C2,LIKELY,UNKNOWN,Encrypted C2 channel,P0,CANDIDATE,HIGH,XWorm is in DS-008 verified baseline; additional 2025 campaign from different date/delivery adds temporal diversity,,XWorm confirmed. Email attachment delivery differs from baseline. Filename unknown. Requires PCAP verification.,SUCCESS,48e0fbadbfa205572fdef8ff7f02d42912d81ad1362a973907bea157a980459a,SUCCESS,VERIFIED_YES,MEDIUM,,c63d9260c5d93b98c51b353f4f6059c52b756ab648cc27c814d3aede41142d23,4198726,DOCUMENTED_SOURCE,4645,9,3,YES,YES,2,2,YES,YES,YES,2,5
MTA-C016,2025-10-08,Infection from Kongtuke campaign ClickFix page,KongTuke / Unknown payload,Loader / ClickFix,2025,https://www.malware-traffic-analysis.net/2025/10/08/index.html,UNKNOWN,YES,UNKNOWN,HTTPS inferred,LIKELY,UNKNOWN,C2 via HTTPS,P2,CANDIDATE,MEDIUM,KongTuke ClickFix loader; payload not specified; lower priority without confirmed malware family,,Payload family unspecified in search results. Requires PCAP verification.,,,,,,,,,,,,,,,,,,,,,
MTA-C017,2025-10-01,Possible Rhadamanthys disguised as cracked version of popular software,Rhadamanthys,Stealer / Infostealer,2025,https://www.malware-traffic-analysis.net/2025/10/01/index.html,UNKNOWN,YES,UNKNOWN,HTTPS - Rhadamanthys standard,LIKELY,UNKNOWN,HTTPS C2,P1,CANDIDATE,HIGH,Rhadamanthys is a sophisticated infostealer with HTTPS C2 using gRPC/HTTPS; adds new stealer family; note 'possible' qualifier,,MTA notes 'possible' Rhadamanthys - identity not confirmed. Verify empirically. Filename unknown.,,,,,,,,,,,,,,,,,,,,,
MTA-C018,2025-09-24,Lumma Stealer infection with follow-up malware possible Ghostsocks/Go Backdoor,Lumma Stealer / Ghostsocks,Stealer / Backdoor,2025,https://www.malware-traffic-analysis.net/2025/09/24/index.html,2025-09-24-traffic-from-running-Setup.exe.pcap,YES,UNKNOWN,HTTPS - multi-family,LIKELY,UNKNOWN,HTTPS C2 for Lumma; Go-based C2 for backdoor,P0,CANDIDATE,HIGH,Ghostsocks/Go backdoor produces distinctive TLS fingerprints due to Go crypto/tls stack; exceptional JA4 diversity,,Ghostsocks confirmed as Go-based. Go TLS stacks produce distinctive fingerprints distinct from OpenSSL/Schannel. Filename unknown.,SUCCESS,fe6422949c8c3580ffbb762799a93a784a06748c66d0531279b97e3794eed722,SUCCESS,VERIFIED_YES,HIGH,,805fc5b533f990ae63beeacdee52b656bfddfd21145089dfbb54a82c6ea17aba,17405634,DOCUMENTED_SOURCE,16517,20,9,NO,YES,8,8,YES,YES,YES,8,11
MTA-C019,2025-09-05,XLoader (Formbook) infection,XLoader / Formbook,Stealer / Loader,2025,https://www.malware-traffic-analysis.net/2025/09/05/index.html,UNKNOWN,YES,UNKNOWN,HTTPS - XLoader standard,LIKELY,UNKNOWN,HTTPS C2,P1,CANDIDATE,HIGH,XLoader in September 2025; adds temporal diversity within XLoader family across 2024-2025,,Filename unknown. Requires PCAP verification.,,,,,,,,,,,,,,,,,,,,,
MTA-C020,2025-09-03,Kongtuke CAPTCHA page ClickFix script leads to Lumma Stealer,Lumma Stealer / KongTuke,Stealer / ClickFix,2025,https://www.malware-traffic-analysis.net/2025/09/03/index.html,UNKNOWN,YES,UNKNOWN,HTTPS expected,LIKELY,UNKNOWN,HTTPS C2,P1,CANDIDATE,HIGH,KongTuke delivery chain documented; adds campaign-level diversity even within Lumma family,,Filename unknown. Requires PCAP verification.,,,,,,,,,,,,,,,,,,,,,
MTA-C021,2025-08-20,SmartApeSG CAPTCHA page ClickFix script leads to NetSupport RAT then StealC v2,SmartApeSG / NetSupport RAT / StealC v2,RAT / Stealer / ClickFix,2025,https://www.malware-traffic-analysis.net/2025/08/20/index.html,2025-08-20-SmartAgeSG-Netsupport-RAT-with-StealCv2.pcap,YES,UNKNOWN,HTTPS - multi-stage,LIKELY,UNKNOWN,HTTPS for all stages,P0,CANDIDATE,HIGH,Three-stage capture (SmartApeSG + NetSupport RAT + StealC v2); multiple TLS fingerprints per capture; high diversity value,,Triple-family infection. NetSupport + StealC v2 in same capture. Filename unknown.,SUCCESS,5e74ce87996abd1237f242e6b551fdf0a20e07003a58d077e6ae25ab1c257f5d,SUCCESS,VERIFIED_YES,HIGH,,24de7b31a2248763c4fd3e92acfc6b6fa9462b129c7b4ff8024932407ebeae4b,68385338,DOCUMENTED_SOURCE,61609,27,7,YES,NO,6,7,YES,YES,YES,6,15
