corpus_sample_id,mta_candidate_id,mta_date,mta_title,malware_family,year,source_url,pcap_filename,pcap_sha256,pcap_size_bytes,tls12_present,tls13_present,clienthello_count,serverhello_count,ja3_available,ja3s_available,ja4_available,bidirectional_flow_available,empirical_quality,admission_status,admission_reason,diversity_role,notes
DS008-C001,MTA-C037,2025-01-30,XLoader infection traffic,XLoader,2025,https://www.malware-traffic-analysis.net/2025/01/30/index.html,2025-01-30-XLoader-infection-traffic.pcap,,,YES,YES,YES,YES,YES,YES,YES,YES,HIGH,CURRENT VERIFIED BASELINE,Existing DS-008 verified baseline,Baseline anchor for XLoader,
DS008-C002,MTA-C046,2024-03-14,AsyncRAT and XWorm infection traffic,AsyncRAT / XWorm,2024,https://www.malware-traffic-analysis.net/2024/03/14/index.html,2024-03-14-AsyncRAT-and-XWorm-infection-traffic.pcap,,,YES,YES,YES,YES,YES,YES,YES,YES,HIGH,CURRENT VERIFIED BASELINE,Existing DS-008 verified baseline,Baseline anchor for AsyncRAT / XWorm,
,MTA-C003,2026-08-06,Remcos RAT (7.2.5 Pro) infection,Remcos RAT,2026,https://www.malware-traffic-analysis.net/2026/08/06/index.html,2026-08-06-example-of-Remcos-RAT-post-infection-traffic.pcap,a48aac50133d9e2094d92b64b15880a64b2b07aeaedbe1f80afdcbc122fa4b1b,534586,NO,NO,0,0,NO,NO,NO,YES,REJECTED,REJECTED,Empirical testing failed or no useful TLS/JA4 data,N/A,
DS008-C003,MTA-C006,2026-04-16,Lumma Stealer infection with Sectop RAT / ArechClient2,Lumma Stealer / SectopRAT / ArechClient2,2026,https://www.malware-traffic-analysis.net/2026/04/16/index.html,2026-04-16-Lumma-Stealer-infection-with-Sectop-RAT.pcap,a430dc87508451dad8e70a7ed9b5d912054482d16745b4eadd93411e44dd41fc,42365230,YES,YES,50,50,YES,YES,YES,YES,HIGH,ADMITTED,HIGH empirical quality with JA4 computability,Increases multi-family coverage and adds new JA4 fingerprints,
DS008-C004,MTA-C015,2025-11-19,XWorm infection from email attachment,XWorm,2025,https://www.malware-traffic-analysis.net/2025/11/19/index.html,2025-11-19-Xworm-infection-traffic.pcap,c63d9260c5d93b98c51b353f4f6059c52b756ab648cc27c814d3aede41142d23,4198726,YES,YES,2,2,YES,YES,YES,YES,MEDIUM,ADMITTED,Temporal diversity for XWorm (email delivery vs baseline),Temporal/delivery diversity,
DS008-C005,MTA-C018,2025-09-24,Lumma Stealer infection with follow-up malware possible Ghostsocks/Go Backdoor,Lumma Stealer / Ghostsocks,2025,https://www.malware-traffic-analysis.net/2025/09/24/index.html,2025-09-24-traffic-from-running-Setup.exe.pcap,805fc5b533f990ae63beeacdee52b656bfddfd21145089dfbb54a82c6ea17aba,17405634,NO,YES,8,8,YES,YES,YES,YES,HIGH,ADMITTED,HIGH empirical quality with JA4 computability,Increases multi-family coverage and adds new JA4 fingerprints,
DS008-C006,MTA-C021,2025-08-20,SmartApeSG CAPTCHA page ClickFix script leads to NetSupport RAT then StealC v2,SmartApeSG / NetSupport RAT / StealC v2,2025,https://www.malware-traffic-analysis.net/2025/08/20/index.html,2025-08-20-SmartAgeSG-Netsupport-RAT-with-StealCv2.pcap,24de7b31a2248763c4fd3e92acfc6b6fa9462b129c7b4ff8024932407ebeae4b,68385338,YES,NO,6,7,YES,YES,YES,YES,HIGH,ADMITTED,HIGH empirical quality with JA4 computability,Increases multi-family coverage and adds new JA4 fingerprints,
DS008-C007,MTA-C022,2025-08-15,Lumma Stealer infection with SectopRAT,Lumma Stealer / SectopRAT,2025,https://www.malware-traffic-analysis.net/2025/08/15/index.html,2025-08-15-Lumma-Stealer-infection-with-Sectop-RAT.pcap,903844e8c40fde617c3636a69ba902a668d740e67c79d9624998b4ab6df09ccd,23163559,NO,YES,10,11,YES,YES,YES,YES,HIGH,ADMITTED,HIGH empirical quality with JA4 computability,Increases multi-family coverage and adds new JA4 fingerprints,
,MTA-C039,2024-09-11,Data Dump Remcos RAT and XLoader Formbook,Remcos RAT / XLoader,2024,https://www.malware-traffic-analysis.net/2024/09/11/index.html,2024-09-11-Remcos-RAT-infection-traffic.pcap,3568f8710ce89eecb3639a3370f8c7bdd1f79b8dbcd61f56fdfa4d12a9ea02f4,11459,NO,YES,1,1,YES,YES,YES,YES,MEDIUM,REJECTED,"Only 1 TLS flow; redundant families (XLoader is in baseline, Remcos is in C040)",N/A,
DS008-C008,MTA-C040,2024-08-26,GuLoader for Remcos RAT,GuLoader / Remcos RAT,2024,https://www.malware-traffic-analysis.net/2024/08/26/index.html,2024-08-26-GuLoader-for-Remcos-RAT.pcap,47b1cc4c0148245878a1a2f2eadb37323d80d20a5dbc196b872b3780b8108095,1670896,YES,YES,2,2,YES,YES,YES,YES,MEDIUM,ADMITTED,Adds GuLoader delivery chain,Loader diversity,
